Summary,temp,RelativeHumidity(%),Wind Speed(Kmph),Solar Raditation(cal/cm^2),AtmosphericPressure (hpa),Elevation
8/5/2014,28.8,69.4,4.1,179.3,962.6,374.0666667
8/6/2014,27.7,70.6,4.1,207.3,963.9,374.0666667
8/7/2014,27.55,78.2,3.1,130.5,964,374.0666667
8/8/2014,26.75,85,3.4,115,963.9,374.0666667
8/9/2014,27.4,87.4,2.5,112.4,964.1,374.0666667
8/10/2014,27.45,86.5,2.2,115,964.7,374.0666667
8/11/2014,26.65,92.6,2,95.3,965,374.0666667
8/12/2014,26.85,95.1,1.6,81,964.4,374.0666667
8/13/2014,26.3,86.6,3,151.1,964.3,374.0666667
8/14/2014,26.3,90.6,2.5,126.8,965.4,374.0666667
8/15/2014,27.15,84.7,2.7,138.9,965.3,374.0666667
8/16/2014,27.85,82,2.7,147.3,965.3,374.0666667
8/17/2014,28.55,82.7,2,134.9,964.4,374.0666667
8/18/2014,28.45,83.7,2.8,205.6,964.5,374.0666667
8/19/2014,27.1,90.3,3.3,127.7,966,374.0666667
8/20/2014,27.45,89.8,1.9,119.4,964.9,374.0666667
8/21/2014,28.35,83,2.5,185.2,962.6,374.0666667
8/22/2014,29,80.4,2.4,211.2,961.2,374.0666667
8/23/2014,29,85.5,2.2,158.8,961.6,374.0666667
8/24/2014,27.2,83.2,4.5,166.7,963.2,374.0666667
8/25/2014,27.15,74.2,5.4,270.4,964.3,374.0666667
8/26/2014,27.15,76.3,3,225.8,965.5,374.0666667
8/27/2014,26.85,78.4,2.6,217,964.8,374.0666667
8/28/2014,26.6,77.6,2.3,146.7,963.4,374.0666667
8/29/2014,26.55,74.2,3.7,181.3,962.5,374.0666667
8/30/2014,27.7,68.8,4.4,171.4,961.8,374.0666667
8/31/2014,27.25,74.1,4.2,175.7,961.9,374.0666667
9/1/2014,27.65,71.7,4.8,208.8,961.2,374.0666667
9/2/2014,28.1,72.3,5.7,230.9,962,374.0666667
9/3/2014,27.35,77.4,4.6,196.8,963.9,374.0666667
9/4/2014,27.75,69.8,6.9,270.7,964.8,374.0666667
9/5/2014,26.5,76.4,3,146.3,965.4,374.0666667
9/6/2014,27.7,76.1,3.3,135,965.1,374.0666667
9/7/2014,28.1,71.4,3.2,193.2,963.6,374.0666667
9/8/2014,27.7,74.4,2.8,140.1,964.6,374.0666667
9/9/2014,27.8,72.3,4,221.2,965.6,374.0666667
9/10/2014,26.35,82.9,1.9,118.8,965.8,374.0666667
9/11/2014,27.6,77.4,2.9,134.1,965,374.0666667
9/12/2014,28.05,78.2,2.3,115.4,966.1,374.0666667
9/13/2014,28.45,79.4,2.1,132,965.8,374.0666667
9/14/2014,27.6,81,2.2,153.1,965.2,374.0666667
9/15/2014,27.75,84.5,3.1,141.7,964.4,374.0666667
9/16/2014,27.65,76.8,2.3,141.9,963.3,374.0666667
9/17/2014,26.95,73.2,2.6,267,962.8,374.0666667
9/18/2014,27.75,73.5,2.6,164.2,962.5,374.0666667
9/19/2014,27.45,70.9,2.6,163,963.9,374.0666667
9/20/2014,27.2,76,3.1,174.9,963.8,374.0666667
9/21/2014,27.2,82.2,1.8,101.4,964.1,374.0666667
9/22/2014,29.3,73.8,2.9,139,964.3,374.0666667
9/23/2014,28.15,84,2.6,151.9,964.8,374.0666667
9/24/2014,27.8,82.2,2.7,283.9,963.9,374.0666667
9/25/2014,28.4,82.4,2,253.4,964.1,374.0666667
9/26/2014,27.65,84.6,2.1,259.3,964.8,374.0666667
9/27/2014,28.15,89.3,2.1,273.5,966.3,374.0666667
9/28/2014,27.75,86.6,1.8,267.6,966.2,374.0666667
9/29/2014,27.65,88.1,2.4,219,967,374.0666667
9/30/2014,26.8,91.4,1.8,274.4,966.8,374.0666667
10/1/2014,27.55,92.4,1.4,236.2,966.8,374.0666667
10/2/2014,27.85,89.9,1.3,233.2,966.4,374.0666667
10/3/2014,28.1,85.2,1.4,265.1,966.5,374.0666667
10/4/2014,27.85,87.4,1.4,219.5,966.2,374.0666667
10/5/2014,28.3,89.1,2,158.8,966.6,374.0666667
10/6/2014,27.75,90.1,2.8,135.6,967.2,374.0666667
10/7/2014,27.85,86.5,1.7,265.1,966.3,374.0666667
10/8/2014,26.25,96.2,1.5,121.3,964.8,374.0666667
10/9/2014,27.2,90.1,1.6,185.6,964.6,374.0666667
10/10/2014,27.65,89.2,1.7,195.9,964.4,374.0666667
10/11/2014,26.65,96.7,1.6,91.4,963.8,374.0666667
10/12/2014,27.2,91.2,1.9,133.2,963.2,374.0666667
10/13/2014,26.5,88.6,2.4,124,963.4,374.0666667
10/14/2014,27.35,87,1.5,172.9,964.2,374.0666667
10/15/2014,28.45,83.4,2.2,215.5,965.6,374.0666667
10/16/2014,26.7,95.5,1.8,128.3,967.2,374.0666667
10/17/2014,26.9,93.7,1.4,193.7,966.9,374.0666667
10/18/2014,26.25,79.4,2,355.8,967.4,374.0666667
10/19/2014,24.8,98.6,3.4,187.2,961.7,374.0666667
10/20/2014,25.05,99,3.3,205.2,961.6,374.0666667
10/21/2014,24.55,97.1,4.9,203,962.4,374.0666667
10/22/2014,24.6,96,3,191.8,963.7,374.0666667
10/23/2014,25.65,89.8,3.8,386,963.5,374.0666667
10/24/2014,25.85,94.3,3.5,301.6,963.2,374.0666667
10/25/2014,26.75,87.8,3.7,471.6,961.9,374.0666667
10/26/2014,24.35,100,1.2,0,967.7,374.0666667
10/27/2014,26.6,95.7,1.7,363.1,968.6,374.0666667
10/28/2014,26.05,95.9,2.2,424.8,968.3,374.0666667
10/29/2014,25.4,100,1.5,371,967.5,374.0666667
10/30/2014,26.6,99.9,1.3,318.7,967,374.0666667
10/31/2014,25.7,96.3,1.2,420.1,966.8,374.0666667
11/1/2014,25.7,98,1.3,313.3,966.7,374.0666667
11/2/2014,27.1,91.9,1.5,384,966.9,374.0666667
11/3/2014,25.45,98,1,246.2,967.6,374.0666667
11/4/2014,24.95,97.8,0.8,228,967.8,374.0666667
11/5/2014,25,96.5,1.2,281.6,968.3,374.0666667
11/6/2014,24.6,86.8,1.6,433.6,968.4,374.0666667
11/7/2014,25.7,80.3,1.4,457.2,967,374.0666667
11/8/2014,26.75,82.4,1.5,401.1,966.9,374.0666667
11/9/2014,25.7,90.6,1.2,363.5,967,374.0666667
11/10/2014,26.15,92.2,2,387.3,967.1,374.0666667
11/11/2014,27.8,92.1,1.2,380.6,966.7,374.0666667
11/12/2014,29.85,100,1.6,451.5,968.2,374.0666667
11/13/2014,26.1,72.8,3.1,117.3,870.3,374.0666667
11/14/2014,24.9,91.3,5.7,278.4,969.3,374.0666667
11/15/2014,26,88.8,4.4,436.4,970.7,374.0666667
11/16/2014,26.3,82.2,4.2,521.8,969.8,374.0666667
11/17/2014,25.6,82.3,3.5,491,969.8,374.0666667
11/18/2014,24.3,88.7,1.1,459,968.2,374.0666667
11/19/2014,25.5,91.4,1.4,355.4,969.5,374.0666667
11/20/2014,25.3,90,1.4,385.7,968.8,374.0666667
11/21/2014,26.05,86.3,1.2,313,967.9,374.0666667
11/22/2014,24.8,89.1,1.1,289.6,968,374.0666667
11/23/2014,26.95,91.6,1.1,288.3,967.5,374.0666667
11/24/2014,26.05,92.5,1,257.1,967.4,374.0666667
11/25/2014,25.45,81.7,1.5,384.6,967.8,374.0666667
11/26/2014,23.15,88.7,1.3,240.2,967.1,374.0666667
11/27/2014,24.2,84.6,1.4,362.1,965.7,374.0666667
11/28/2014,24.55,89.1,1.2,295.7,966,374.0666667
11/29/2014,23.25,97.5,1.1,129.5,967.1,374.0666667
11/30/2014,24.5,87.6,1,177.2,967,374.0666667
12/1/2014,24.9,69.2,1.2,252.4,961.9,374.0666667
12/2/2014,24.55,86.1,1.8,175.6,962.3,374.0666667
12/3/2014,23.35,87.8,1.2,195.1,963.4,374.0666667
12/4/2014,24.35,85.2,1.3,408.1,963.1,374.0666667
12/5/2014,23.3,82.1,1.4,454.4,963.7,374.0666667
12/6/2014,23.25,79.6,1.5,404.2,963.7,374.0666667
12/7/2014,24.55,79.7,1.2,406.2,963.2,374.0666667
12/8/2014,26.9,85.6,1.3,359.9,962.5,374.0666667
12/9/2014,26.3,88.4,1.1,245.1,963.2,374.0666667
12/10/2014,27.35,91.6,1.3,207.5,963.5,374.0666667
12/11/2014,26.05,97.8,1.8,260.1,963.3,374.0666667
12/12/2014,25.65,95.7,1.1,226.8,963.3,374.0666667
12/13/2014,25.35,98.8,1.6,238.4,963.7,374.0666667
12/14/2014,25.4,97.8,1.2,192.6,964.2,374.0666667
12/15/2014,24.6,100,1.3,132.5,964.1,374.0666667
12/16/2014,26.3,92.8,1.1,332.3,963.4,374.0666667
12/17/2014,26.45,90,1.9,322.5,963.5,374.0666667
12/18/2014,26.5,85.4,2.2,380.8,963.7,374.0666667
12/19/2014,24.2,96.3,1.6,96,964.5,374.0666667
12/20/2014,24,95.6,1.3,90.8,965.4,374.0666667
12/21/2014,23.35,96.1,1.1,165.9,963.7,374.0666667
12/22/2014,25.7,88.8,1.3,405.3,962.1,374.0666667
12/23/2014,25.6,87.1,1.5,332.6,962.2,374.0666667
12/24/2014,25.9,86.8,1.3,341.8,963,374.0666667
12/25/2014,23.9,90.5,1.1,245.3,964.2,374.0666667
12/26/2014,24.4,86.8,1.4,351.1,963.4,374.0666667
12/27/2014,23.7,84.5,1.1,302.8,962,374.0666667
12/28/2014,24.45,79.3,1.1,288.2,962.4,374.0666667
12/29/2014,24.4,91.1,1.3,149,962.5,374.0666667
12/30/2014,27.6,89.3,1.7,389.2,959.9,374.0666667
12/31/2014,25.85,96.2,1.8,269,958.9,374.0666667
2/1/2015,24.9,69.2,1.7,452.6,970.3,374.0666667
2/2/2015,25.2,68.4,1.5,1198,970.4,374.0666667
2/3/2015,25.15,67.3,2,496.2,971.6,374.0666667
2/4/2015,25.1,68.3,1.6,751,972.5,374.0666667
2/5/2015,26.1,69.6,1.9,456.3,971.4,374.0666667
2/6/2015,24.8,67.2,1.6,335.3,970.1,374.0666667
2/7/2015,25.25,60.9,1.8,758.6,970,374.0666667
2/8/2015,25.9,73,2.6,623.7,971.1,374.0666667
2/9/2015,25.1,57.3,4.2,606.3,971.3,374.0666667
2/10/2015,24.85,65.2,1.1,519.9,969.6,374.0666667
2/11/2015,26.2,64.9,1.7,480.7,969.3,374.0666667
2/12/2015,27.05,66.5,1.9,473.3,969,374.0666667
2/13/2015,26.8,67.1,1.7,531.6,968.3,374.0666667
2/14/2015,28.4,68.7,1.7,479.4,968.3,374.0666667
2/15/2015,26.1,63.4,1.8,460.2,967.5,374.0666667
2/16/2015,26.3,54,2.1,504.9,968.1,374.0666667
2/17/2015,26,56.5,1.9,754.6,969,374.0666667
2/18/2015,26.05,55.5,1.9,534.7,968.3,374.0666667
2/19/2015,27.05,54.3,2.1,531.7,967.7,374.0666667
2/20/2015,27,55,1.9,495.1,967.7,374.0666667
2/21/2015,25.55,57.9,2,575.7,968.4,374.0666667
2/22/2015,25.95,56.5,2.1,543,968.7,374.0666667
2/23/2015,25.5,52.7,2.4,575.6,969.1,374.0666667
2/24/2015,25.1,49.2,2.1,546,969.1,374.0666667
2/25/2015,25.95,47.1,1.8,576.7,967.5,374.0666667
2/26/2015,27.5,51.7,2.3,535.1,966.1,374.0666667
2/27/2015,28.05,70,2.7,683.7,967.1,374.0666667
2/28/2015,28.4,71.2,1.6,368.5,966.3,374.0666667
3/1/2015,27.5,83.2,2.7,373.7,966.3,374.0666667
3/2/2015,29.1,85.4,2.2,418.8,967.0,374.0666667
3/3/2015,29.4,82.3,2.5,478.5,967.8,374.0666667
3/4/2015,28.8,80.2,2.8,403.4,967.0,374.0666667
3/5/2015,27.75,82.9,3,492,967.4,374.0666667
3/6/2015,29.55,74.3,2.4,512.5,968.2,374.0666667
3/7/2015,29.55,61.7,2.5,468,969.1,374.0666667
3/8/2015,28.95,62.4,4.5,513.7,970.4,374.0666667
3/9/2015,28.3,56.4,4.4,605,971.2,374.0666667
3/10/2015,27.4,68.6,1.9,443.5,970.1,374.0666667
3/11/2015,27.1,64.9,1.9,511.8,969.7,374.0666667
3/12/2015,28.5,64.6,2,558,969.5,374.0666667
3/13/2015,27.65,66.3,1.6,458.6,969.5,374.0666667
3/14/2015,27.9,62,2.2,540.4,969.5,374.0666667
3/15/2015,29.2,65,2.2,498.2,970,374.0666667
3/16/2015,28,77.5,2.1,275.6,970,374.0666667
3/17/2015,28.2,65.6,1.9,458.4,969.9,374.0666667
3/18/2015,28.7,57.3,2,552.7,968.1,374.0666667
3/19/2015,28.6,47.5,2,583.3,967.2,374.0666667
3/20/2015,28.8,53.4,2.2,571.2,967.6,374.0666667
3/21/2015,29.6,55.9,2.1,579.7,969.1,374.0666667
3/22/2015,28.45,49.7,2.2,572.8,969.3,374.0666667
3/23/2015,29.8,47.7,2,576.6,967.9,374.0666667
3/24/2015,30.6,62.1,2.1,519.5,966.4,374.0666667
3/25/2015,31.1,57.6,1.8,515.8,965.7,374.0666667
3/26/2015,30.2,53.7,2,512.4,967.4,374.0666667
3/27/2015,29.4,58.5,2.1,521.2,969,374.0666667
3/28/2015,29.9,57,2.5,532.5,968.7,374.0666667
3/29/2015,29.7,58.3,1.9,534.3,967.4,374.0666667
3/30/2015,31.45,56.5,2.4,599,966,374.0666667
3/31/2015,30.55,61.9,2.3,500.8,966.3,374.0666667
4/1/2015,30.75,67.3,1.9,430.4,961.6,374.0666667
4/2/2015,31,65.9,2,432.9,961.3,374.0666667
4/3/2015,30.65,68.8,2.1,489.9,959.9,374.0666667
4/4/2015,31.5,66.5,3.3,501.6,958.3,374.0666667
4/5/2015,32.2,67.6,2.8,506.6,957.2,374.0666667
4/6/2015,32.75,63.7,3.2,474.5,958,374.0666667
4/7/2015,31.6,69.8,3.1,459.8,958.6,374.0666667
4/8/2015,32.65,66.3,2.5,494.3,959.2,374.0666667
4/9/2015,31.1,68.6,2.3,373.8,960.8,374.0666667
4/10/2015,31.2,71,2.8,436.2,961.5,374.0666667
4/11/2015,30.2,71.3,1.9,480.9,961.6,374.0666667
4/12/2015,30.35,69.9,2.4,435,962.1,374.0666667
4/13/2015,29.4,80.6,3,380.7,963.7,374.0666667
4/14/2015,27.3,87.3,2.2,420.9,963.1,374.0666667
4/15/2015,28.3,85.8,2.5,404.1,961.5,374.0666667
4/16/2015,28.6,82.8,2,458.5,962.4,374.0666667
4/17/2015,28.05,83.7,2.3,486.3,963.2,374.0666667
4/18/2015,28.65,86.3,3.1,425.8,961.1,374.0666667
4/19/2015,29.7,79.5,2.9,553.3,959.5,374.0666667
4/20/2015,30.85,73.7,1.9,510.3,960.3,374.0666667
4/21/2015,29.45,80.3,2.4,391.3,961.5,374.0666667
4/22/2015,29.7,80.3,3,442.6,961.2,374.0666667
4/23/2015,29.75,80.7,2.4,395.3,960.5,374.0666667
4/24/2015,29.45,80.7,3.4,452.7,961.2,374.0666667
4/25/2015,29.1,72.4,3.1,580.2,961.3,374.0666667
4/26/2015,28.55,81.2,2.2,528.4,960.9,374.0666667
4/27/2015,29.9,82,3,468.3,961.2,374.0666667
4/28/2015,28.8,78.2,1.9,461.6,962.3,374.0666667
4/29/2015,30.2,79,1.5,543.2,960.8,374.0666667
4/30/2015,29.95,68.9,4.7,501.1,961.2,374.0666667
5/1/2015,29.7,66.6,3.6,546.7,966.4,374.0666667
5/2/2015,31.25,67.7,2.8,567.4,965.5,374.0666667
5/3/2015,30.6,74.9,2.8,478.6,965.6,374.0666667
5/4/2015,30.85,74.6,2.5,538.5,964.9,374.0666667
5/5/2015,29.75,79.3,3.5,427.2,965.4,374.0666667
5/6/2015,30.1,77,2.9,424.5,964.6,374.0666667
5/7/2015,28.9,82,3,305.8,964.5,374.0666667
5/8/2015,30,81.9,3.9,490.8,965.2,374.0666667
5/9/2015,29.3,86.5,3.1,460.4,963.8,374.0666667
5/10/2015,29.85,82.1,2.5,496.6,963.1,374.0666667
5/11/2015,28.5,84.1,0,402.4,965.2,374.0666667
5/12/2015,26.8,85.2,0,269,967.2,374.0666667
5/13/2015,28.85,85.2,2.5,441.1,964.6,374.0666667
5/14/2015,27.3,96.5,2.6,281,964,374.0666667
5/15/2015,26.75,99,1.8,255.5,964.6,374.0666667
5/16/2015,27.25,98.2,1.8,355.3,964.4,374.0666667
5/17/2015,26.15,99.8,1.9,245.1,963.2,374.0666667
5/18/2015,27.35,98.4,2.4,343.4,962.9,374.0666667
5/19/2015,26.55,96.7,2.5,419.5,963.4,374.0666667
5/20/2015,28.1,94.2,2.1,439.7,964,374.0666667
5/21/2015,29.05,90,2.1,469.9,964.4,374.0666667
5/22/2015,28.95,82.8,2.6,546.1,964.9,374.0666667
5/23/2015,29.2,88.9,2.1,423.6,964.7,374.0666667
5/24/2015,28.5,87.7,2.2,416.1,965,374.0666667
5/25/2015,29.7,85.9,2.4,492.2,965.1,374.0666667
5/26/2015,29.95,84.1,2.3,527.4,965,374.0666667
5/27/2015,29.7,81.8,2.4,557.6,964.8,374.0666667
5/28/2015,28.25,83.1,3.2,482.4,964.5,374.0666667
5/29/2015,28,94.5,1.4,234,962.7,374.0666667
5/30/2015,28.3,87.7,2.9,458.3,963.5,374.0666667
5/31/2015,28.95,83.9,2.4,509.6,963.4,374.0666667
